<DATABASE_ID>,<DATABASE_NAME>,<MOLECULAR_WEIGHT>,<JCHEM_ACCEPTOR_COUNT>,<JCHEM_AVERAGE_POLARIZABILITY>,<JCHEM_DONOR_COUNT>,<JCHEM_FORMAL_CHARGE>,<JCHEM_LOGP>,<JCHEM_NUMBER_OF_RINGS>,<JCHEM_PHYSIOLOGICAL_CHARGE>,<JCHEM_PKA>,<JCHEM_PKA_STRONGEST_ACIDIC>,<JCHEM_PKA_STRONGEST_BASIC>,<JCHEM_POLAR_SURFACE_AREA>,<JCHEM_REFRACTIVITY>,<JCHEM_ROTATABLE_BOND_COUNT>,<DRUGBANK_ID>
DB00114,drugbank,247.1419,6,20.89888718130824,3,0,-2.0856087036128135,1,-2,6.691277029499376,1.6802986106557465,4.109012435085948,116.95,54.746300000000005,4,DB00114
DB00116,drugbank,445.4292,12,42.9531289011855,8,0,-4.212630310185438,3,-2,3.863700981959142,3.5095693878577654,3.5846826310688993,207.27000000000004,121.3866,9,DB00116
DB00117,drugbank,155.1546,4,14.670259477862192,3,0,-3.6160224799542067,1,0,12.941172308417476,1.8499726767043654,9.437137464922305,92.0,38.059,3,DB00117
DB00118,drugbank,398.44,10,39.26098478969112,4,0,-5.318677759807232,3,1,12.444250657594088,1.7035398838473055,9.414366136255632,185.46,107.07199999999997,7,DB00118
DB00119,drugbank,88.0621,3,7.3105058729791725,1,0,0.06587395333333337,0,-1,,2.93012330309767,-9.583170381128017,54.37,17.9897,1,DB00119
DB00120,drugbank,165.1891,3,17.0319763846329,2,0,-1.184438468740489,1,0,,2.469229772182635,9.446936344396194,63.31999999999999,45.11630000000001,3,DB00120
DB00121,drugbank,244.311,3,24.919241783202757,3,0,0.31942364800000006,2,-1,13.546990539562877,4.4043165776835425,-1.863639696129737,78.42999999999999,60.0509,5,DB00121
DB00122,drugbank,104.1708,1,12.565613058013364,1,1,-4.662269162805079,0,1,,13.968714076810006,-3.249884462803304,20.23,42.194,2,DB00122
DB00123,drugbank,146.1876,4,15.843749178427787,3,0,-3.2145347205442243,0,1,,2.7382862451337,10.288061623041543,89.34,37.8095,5,DB00123
DB00125,drugbank,174.201,6,17.798401776145056,5,0,-3.1559373774200568,0,1,,2.4118378885304885,12.41100429474531,125.21999999999998,53.9231,5,DB00125
DB00126,drugbank,176.1241,5,14.93252509217066,4,0,-1.9135588756666668,1,-1,11.19770144834119,4.359917442787388,-2.979728932431362,107.22,37.0321,2,DB00126
DB00127,drugbank,202.3402,4,26.694691643339333,4,0,-1.4540076160000006,0,4,,11.099251803165696,,76.1,62.558200000000014,11,DB00127
